year,importer_name,target,value,share
2018-2020,Algeria,Wheat,2.1m,0.14
2018-2020,Angola,Wheat,25.1m,15.88
2018-2020,Benin,Wheat,3.4m,99.9
2018-2020,Botswana,Wheat,0.0m,0.38
2018-2020,Burkina Faso,Wheat,11.2m,38.33
2018-2020,Burundi,Wheat,6.6m,33.87
2018-2020,Cabo Verde,Wheat,2.9m,57.0
2018-2020,Cameroon,Wheat,82.6m,49.5
2018-2020,Congo Republic,Wheat,34.7m,63.44
2018-2020,Cote d'Ivoire,Wheat,28.0m,17.31
2018-2020,DR Congo,Wheat,31.2m,62.32
2018-2020,Djibouti,Wheat,13.2m,75.99000000000001
2018-2020,Egypt,Wheat,1858.0m,78.22
2018-2020,Eritrea,Wheat,1.9m,99.94
2018-2020,Eswatini,Wheat,2.5m,18.24
2018-2020,Ethiopia,Wheat,87.5m,32.68
2018-2020,Gabon,Wheat,2.1m,8.88
2018-2020,Gambia,Wheat,6.8m,53.69
2018-2020,Ghana,Wheat,52.2m,27.79
2018-2020,Guinea,Wheat,26.7m,33.64
2018-2020,Kenya,Wheat,149.7m,37.7
2018-2020,Liberia,Wheat,2.2m,26.23
2018-2020,Libya,Wheat,85.3m,46.78
2018-2020,Madagascar,Wheat,9.6m,59.36
2018-2020,Malawi,Wheat,17.1m,46.25
2018-2020,Mali,Wheat,26.9m,35.199999999999996
2018-2020,Mauritania,Wheat,24.4m,22.88
2018-2020,Morocco,Wheat,317.8m,30.6
2018-2020,Mozambique,Wheat,75.4m,40.96
2018-2020,Namibia,Wheat,10.0m,39.6
2018-2020,Nigeria,Wheat,263.8m,23.21
2018-2020,Rwanda,Wheat,16.8m,63.54
2018-2020,Senegal,Wheat,106.4m,60.44
2018-2020,Somalia,Wheat,6.9m,67.96000000000001
2018-2020,South Africa,Wheat,132.7m,30.94
2018-2020,Sudan,Wheat,828.4m,79.1
2018-2020,Tanzania,Wheat,139.8m,72.85000000000001
2018-2020,Togo,Wheat,11.7m,49.98
2018-2020,Tunisia,Wheat,234.6m,53.550000000000004
2018-2020,Uganda,Wheat,59.0m,51.08
2018-2020,Zambia,Wheat,0.6m,5.34
2018-2020,Zimbabwe,Wheat,14.0m,15.469999999999999
